LAName,LACode,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Wokingham,E06000041,South East,0.08,0.07,5.6,6.2,6.1,7.07,7.1,6.7,5.4,4.67
Hart,E07000089,South East,0.08,0.07,5.5,6.1,6.3,7.51,7,6.7,5.5,4.77
Surrey Heath,E07000214,South East,0.09,0.08,6.2,6.6,6.6,7.64,7.7,7.2,5.6,5.08
Elmbridge,E07000207,South East,0.1,0.1,7.4,7,7.3,6.31,7.8,7.7,5.8,5.29
Bracknell Forest,E06000036,South East,0.07,0.06,4.9,5.6,5.8,6.94,6.5,5.8,5.2,5.35
Fareham,E07000087,South East,0.1,0.08,5.2,5.9,5.6,7.55,7.2,6.8,5.9,5.35
Mid Sussex,E07000228,South East,0.11,0.1,6.7,6.9,7.6,8.06,7.8,7.5,6.5,5.78
Tandridge,E07000215,South East,0.12,0.11,7.5,7,7,7.59,7.9,7.6,6.5,5.87
Windsor and Maidenhead,E06000040,South East,0.1,0.09,7.4,7.6,8.2,8.19,8.1,7.8,6.1,5.91
Woking,E07000217,South East,0.09,0.08,6.8,6.9,6.6,7.74,8,7.5,6.1,5.96
East Hampshire,E07000085,South East,0.11,0.1,6.6,6.5,7.2,7.75,7.5,7.2,7,5.97
Horsham,E07000227,South East,0.1,0.1,6.8,6.8,7.6,7.66,7.6,7.3,7.2,5.98
Eastleigh,E07000086,South East,0.09,0.08,5.8,6.4,6.1,8.19,7.8,7.2,6.3,6.04
Reigate and Banstead,E07000211,South East,0.1,0.09,6.9,7,7.2,7.52,7.9,7.4,6,6.13
Mole Valley,E07000210,South East,0.12,0.12,7.7,7.3,7.6,7.68,8.1,7.9,6.8,6.16
New Forest,E07000091,South East,0.13,0.12,6.6,6.9,6.8,8.14,8.5,8,7.6,6.16
Waverley,E07000216,South East,0.12,0.12,7.8,7.4,7.8,7.85,8.3,8,6.8,6.21
Basingstoke and Deane,E07000084,South East,0.08,0.07,5.7,5.9,6.9,7.89,7.1,6.5,6.1,6.27
Runnymede,E07000212,South East,0.1,0.09,7.3,7.6,7.5,8.27,8.1,7.8,6.4,6.27
West Berkshire,E06000037,South East,0.1,0.09,6.6,6.6,8.3,8.39,7.5,7.2,6.6,6.29
Milton Keynes,E06000042,South East,0.08,0.06,5.4,6.3,6,7.93,7.5,6.9,5.9,6.33
City of London,E09000001,London,0.05,0.03,2.4,3.9,5.7,4.85,4.9,4.2,5.5,6.36
South Oxfordshire,E07000179,South East,0.11,0.1,7.1,7.4,8.3,8.52,7.9,7.7,7.3,6.4
Test Valley,E07000093,South East,0.1,0.09,6.6,6.6,8.4,8.31,7.6,7.3,6.9,6.43
Epsom and Ewell,E07000208,South East,0.11,0.1,8,7.9,7.4,7.53,8.5,7.7,6.6,6.47
Vale of White Horse,E07000180,South East,0.11,0.1,6.9,7.1,8,8.36,7.9,7.4,6.9,6.49
Winchester,E07000094,South East,0.11,0.11,7.6,7.5,8.6,8.66,8.4,8.1,7.8,6.54
Spelthorne,E07000213,South East,0.11,0.09,6.4,7.1,7,7.68,7.5,7.1,6,6.6
Sevenoaks,E07000111,South East,0.12,0.11,7.9,7.7,8.7,7.97,8.2,8.2,7.3,6.67
Wealden,E07000065,South East,0.15,0.15,7.8,7.4,8,8.53,8.5,8.3,8.5,6.7
West Oxfordshire,E07000181,South East,0.11,0.1,6.9,6.9,8.5,8.67,7.6,7.3,7.4,6.85
Guildford,E07000209,South East,0.11,0.1,8,7.8,8,8.96,9.1,8.5,7.1,6.86
Tonbridge and Malling,E07000115,South East,0.1,0.09,7.2,7.3,7.5,8.31,8.1,7.9,7.3,6.95
Lewes,E07000063,South East,0.13,0.12,7.2,7.7,8.2,8.48,8.8,8.8,8,7.07
Arun,E07000224,South East,0.13,0.12,6.7,7.5,7.2,8.83,8.8,8.6,7.9,7.17
Cherwell,E07000177,South East,0.1,0.08,6.6,7.2,8.3,9.27,8,7.8,7.4,7.22
Havant,E07000090,South East,0.12,0.1,6.7,7.4,6.8,9.04,9,8.6,7.8,7.45
Crawley,E07000163,South East,0.08,0.06,11.3,10.7,13.6,12.54,10.4,9.4,10.6,7.46
Dartford,E06000005,South East,0.11,0.09,11.8,12.5,12.6,14.08,13.7,12.2,9,7.47
Chichester,E07000225,South East,0.15,0.14,8.7,8.3,9.5,9.34,9.3,9.3,9.5,7.54
Ashford,E07000105,South East,0.12,0.11,7.6,7.6,8.3,9.46,8.9,8.4,8.5,7.64
Gosport,E07000088,South East,0.11,0.09,6.7,7.6,7.6,9.75,8.5,8.2,7.2,7.7
Rushmoor,E07000092,South East,0.09,0.07,6.6,7,7.1,9.03,8,7.5,6.4,7.71
Maidstone,E07000110,South East,0.13,0.11,7.9,7.8,8.1,9.69,8.8,8.5,8,7.74
Adur,E07000223,South East,0.14,0.11,6.8,7.3,6.8,8.63,8.5,8.5,7.7,7.77
South Gloucestershire,E06000025,South West,0.11,0.1,6.7,9.1,9.5,8.76,7.5,8.2,6.7,7.97
Tunbridge Wells,E07000116,South East,0.13,0.13,9.2,8.6,9.8,9.7,9.5,9,8.5,8.14
Worthing,E07000229,South East,0.13,0.12,7.8,8.3,8.1,9.19,9.3,9,7.9,8.2
Tewkesbury,E07000083,South West,0.13,0.13,7.5,9.1,9.4,8.52,8.4,8.8,7.4,8.38
Eastbourne,E07000061,South East,0.13,0.11,7.9,8.5,8.6,9.52,9.4,9.7,8.5,8.47
Rother,E07000064,South East,0.18,0.17,8.8,8.9,9,9.36,9.9,9.8,10.6,8.63
Canterbury,E07000106,South East,0.14,0.13,8.9,9.4,9.3,10.92,10.6,10.6,10.1,8.72
Isle of Wight,E06000046,South East,0.16,0.15,9.5,10,8.9,10.58,11.3,11,11.2,8.87
Medway,E06000035,South East,0.12,0.1,8.6,9.8,9.2,11.46,10.1,10.3,9,8.9
Swale,E07000113,South East,0.13,0.11,8.3,8.8,8.7,10.28,10,9.8,9.2,9.09
St. Albans,E07000240,East of England,0.13,0.13,8,7.9,7.2,6.59,7.8,8.3,6.9,9.29
Slough,E06000039,South East,0.1,0.08,10,10.1,8.2,12.7,11,10.1,8.9,9.33
