,LACode,LAName,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,Cluster_5,geography,UnpaidCare_person_per,LimitedAlot_person_per,NoCentralHeating_per_hh,HouseholdSize_hh,AverageRooms_hh,SocialRent_hh_per,PrivateRent_hh_per,Ethnicity_per,Deprivation_hh_per
86,E07000066,Basildon,East of England,13,9.9,6.1,7,6.3,5.66,7.8,8.4,7.8,11.82,3,2,1,1,1,1,1,3,2,4,1,Basildon,10.10504479,8.192690992,1.180820939,2.4,5.3,21.96134495,10.23836362,7.346831178,5.590685399
104,E07000084,Basingstoke and Deane,South East,8.4,7.2,5.7,5.9,6.9,7.89,7.1,6.5,6.1,6.27,1,1,1,1,1,2,1,1,1,1,1,Basingstoke and Deane,9.078123231,5.557840035,1.338815552,2.4,5.8,17.81144053,11.78965592,7.098373649,2.901247926
33,E06000036,Bracknell Forest,South East,7.3,5.8,4.9,5.6,5.8,6.94,6.5,5.8,5.2,5.35,1,1,1,1,1,1,1,1,1,1,1,Bracknell Forest,8.545558942,5.212667285,1.19665199,2.4,5.7,16.73569031,12.49836523,9.408595027,3.025415232
280,E09000007,Camden,London,10.1,8.9,8.8,9.9,13.1,9.93,8.9,11.7,11.9,13.72,1,2,4,6,9,4,3,8,9,6,1,Camden,7.854296581,7.048716064,3.49211557,2.2,4,33.11153034,32.22876125,33.71320426,8.736440626
186,E07000177,Cherwell,South East,9.7,8.3,6.6,7.2,8.3,9.27,8,7.8,7.4,7.22,1,1,1,1,3,3,2,2,2,2,1,Cherwell,9.412975442,6.1310514,2.131222677,2.4,5.7,12.11394726,16.22831759,7.829108749,3.44626992
274,E09000001,City of London,London,4.6,3.4,2.4,3.9,5.7,4.85,4.9,4.2,5.5,6.36,1,1,1,1,1,1,1,1,1,1,1,City of London,7.810169492,4.447457627,4.310148233,1.6,3.4,16.5336374,35.8722919,21.36949153,3.215507412
224,E07000226,Croydon,London,11.3,9.8,5.8,6.7,6.8,8.46,7.7,6.9,6.6,16.43,2,2,1,1,1,3,1,1,1,9,1,Crawley,9.289192004,6.567727047,1.661712734,2.5,5.2,23.85845016,14.54349709,20.0915598,4.877477941
105,E07000085,East Hampshire,South East,10.6,10.2,6.6,6.5,7.2,7.75,7.5,7.2,7,5.97,2,3,1,1,1,2,1,1,1,1,1,East Hampshire,10.06072244,6.402671095,1.728807821,2.4,6.1,12.02124508,11.67421389,3.436613383,2.626010411
106,E07000086,Eastleigh,South East,9,7.8,5.8,6.4,6.1,8.19,7.8,7.2,6.3,6.04,1,1,1,1,1,2,1,1,1,1,1,Eastleigh,10.16062429,6.612672625,2.112041704,2.4,5.6,12.28702302,12.33876996,5.321128763,2.978323783
205,E07000207,Elmbridge,South East,9.7,9.5,7.4,7,7.3,6.31,7.8,7.7,5.8,5.29,1,2,2,1,2,1,1,1,1,1,1,Elmbridge,8.887106017,5.117096466,1.377498961,2.4,6.1,9.859793659,15.12792411,9.74364852,2.405426855
206,E07000208,Epsom and Ewell,South East,11.1,10.3,8,7.9,7.4,7.53,8.5,7.7,6.6,6.47,2,3,3,3,2,2,2,1,1,1,1,Epsom and Ewell,9.757396607,5.589731299,1.685468708,2.5,5.7,8.024442654,13.30244427,14.11413811,2.605425732
107,E07000087,Fareham,South East,9.7,8.4,5.2,5.9,5.6,7.55,7.2,6.8,5.9,5.35,1,1,1,1,1,2,1,1,1,1,1,Fareham,10.64607774,6.764592538,2.314347667,2.4,5.9,8.125979519,9.972305116,3.24607236,2.546211812
108,E07000088,Gosport,South East,10.8,8.7,6.7,7.6,7.6,9.75,8.5,8.2,7.2,7.7,2,1,1,2,2,4,2,2,2,2,1,Gosport,9.895669434,7.752172545,3.703076489,2.3,5.3,16.41264465,16.30539091,3.554743289,4.744566751
109,E07000089,Hart,South East,7.7,7.4,5.5,6.1,6.3,7.51,7,6.7,5.5,4.77,1,1,1,1,1,2,1,1,1,1,1,Hart,8.783627915,4.5291268,1.109546607,2.5,6.3,7.654181921,12.06983948,5.138795821,1.624894396
110,E07000090,Havant,South East,11.6,9.6,6.7,7.4,6.8,9.04,9,8.6,7.8,7.45,2,2,1,2,1,3,3,3,2,2,1,Havant,10.86970932,8.822213384,3.621055914,2.3,5.5,19.56110775,9.914053517,2.918365318,5.741458946
225,E07000227,Horsham,South East,10.4,10.2,6.8,6.8,7.6,7.66,7.6,7.3,7.2,5.98,1,3,2,1,2,2,1,1,2,1,1,Horsham,10.38986756,5.983960518,2.031935619,2.3,5.9,11.55617865,11.79833585,3.990068621,2.738379185
57,E07000011,Huntingdonshire,East of England,11.3,10,6.3,7,6.7,6.09,8.3,8.1,8.4,11.35,2,2,1,1,1,1,2,2,3,4,1,Huntingdonshire,9.748802416,6.284659131,1.863470497,2.4,6,12.89285045,14.0914139,5.201524412,3.057707008
297,E09000024,Merton,London,9.7,8.3,8.6,9.9,10.6,10.16,9.4,11.1,11.2,14.7,1,1,4,6,6,5,4,7,8,7,1,Merton,8.176050237,5.628139194,3.151465901,2.5,5,14.09652475,24.76351308,35.09737447,4.87194789
226,E07000228,Mid Sussex,South East,10.6,10.2,6.7,6.9,7.6,8.06,7.8,7.5,6.5,5.78,2,3,1,1,2,2,1,1,1,1,1,Mid Sussex,9.997139997,5.78006578,1.565956557,2.4,5.8,10.61157658,12.75409779,4.892034892,2.368966538
39,E06000042,Milton Keynes,South East,7.9,6.2,5.4,6.3,6,7.93,7.5,6.9,5.9,6.33,1,1,1,1,1,2,1,1,1,1,1,Milton Keynes,8.760112691,6.350750138,1.251724418,2.5,5.5,18.01813682,17.31112554,19.98504949,4.666071573
208,E07000210,Mole Valley,South East,12,11.5,7.7,7.3,7.6,7.68,8.1,7.9,6.8,6.16,3,3,3,2,2,2,2,2,1,1,1,Mole Valley,10.4374817,6.106002928,1.836552417,2.3,6,12.20553757,11.91805292,4.927672035,3.114882215
111,E07000091,New Forest,South East,12.7,11.9,6.6,6.9,6.8,8.14,8.5,8,7.6,6.16,3,4,1,1,1,2,2,2,2,1,1,New Forest,11.75720552,8.26863574,2.233240932,2.3,5.8,10.98400552,12.09411887,2.437918645,3.081768373
209,E07000211,Reigate and Banstead,South East,10,8.9,6.9,7,7.2,7.52,7.9,7.4,6,6.13,1,1,2,1,1,2,1,1,1,1,1,Reigate and Banstead,9.507744767,6.107302209,1.441639752,2.4,5.8,11.917435,12.93506306,9.399644502,2.702848998
95,E07000075,Rochford,East of England,15.1,13.3,6.5,7.2,6.2,5.48,7.6,8.6,8.5,10,5,4,1,1,1,1,1,3,3,3,1,Rochford,11.31148919,7.152376721,1.513526397,2.5,5.7,7.588487665,8.473364319,2.821568792,3.179001311
210,E07000212,Runnymede,South East,10.3,8.9,7.3,7.6,7.5,8.27,8.1,7.8,6.4,6.27,1,1,2,2,2,2,2,2,1,1,1,Runnymede,9.193888958,5.88374115,2.005257688,2.4,5.5,12.86910803,15.2044996,11.02595951,3.11181757
112,E07000092,Rushmoor,South East,8.7,7.1,6.6,7,7.1,9.03,8,7.5,6.4,7.71,1,1,1,1,1,3,2,1,1,2,1,Rushmoor,8.261643587,5.596597269,1.661897425,2.5,5.2,16.30805635,17.55172793,15.2302067,4.292317852
24,E06000025,South Gloucestershire,South West,10.7,9.9,6.7,9.1,9.5,8.76,7.5,8.2,6.7,7.97,2,2,1,4,4,3,1,2,1,2,1,South Gloucestershire,10.5184441,6.790045934,1.711952984,2.4,5.7,9.887667615,13.57659618,5.020797893,3.089140583
188,E07000179,South Oxfordshire,South East,10.8,10.2,7.1,7.4,8.3,8.52,7.9,7.7,7.3,6.4,2,3,2,2,3,3,1,2,2,1,1,South Oxfordshire,9.873600632,5.616839345,1.959189709,2.4,6.1,11.39102469,13.3280349,3.920838392,2.317758391
211,E07000213,Spelthorne,South East,10.5,8.7,6.4,7.1,7,7.68,7.5,7.1,6,6.6,2,1,1,1,1,2,1,1,1,1,1,Spelthorne,10.29728655,6.421682462,2.012046973,2.4,5.2,12.42913545,12.66450699,12.70214858,3.573597894
237,E07000243,Stevenage,East of England,12.4,8.8,6.3,7.3,7.1,6.43,7.7,8,7.4,12.04,3,1,1,2,1,1,1,2,2,5,1,Stevenage,10.18378456,7.107209643,0.939881942,2.4,5.2,28.37411886,11.40466502,12.33845897,4.510287122
212,E07000214,Surrey Heath,South East,8.7,8,6.2,6.6,6.6,7.64,7.7,7.2,5.6,5.08,1,1,1,1,1,2,1,1,1,1,1,Surrey Heath,9.163725854,5.158803863,0.998628749,2.5,6.3,9.208251356,12.14153699,9.811478455,2.164192452
302,E09000029,Sutton,London,10.1,8.6,7.4,7.7,8.1,7.53,8.6,9.1,8.4,12.86,1,1,2,2,3,2,3,4,3,5,1,Sutton,9.623131699,6.375101238,3.047048891,2.4,5.1,14.61099598,15.89914805,21.40302715,4.542430987
213,E07000215,Tandridge,South East,11.5,10.9,7.5,7,7,7.59,7.9,7.6,6.5,5.87,2,3,2,1,1,2,1,1,1,1,1,Tandridge,10.28338032,6.433889973,1.685561754,2.4,6,10.82718493,10.99514126,6.166413649,2.750284926
113,E07000093,Test Valley,South East,10.1,9.2,6.6,6.6,8.4,8.31,7.6,7.3,6.9,6.43,1,2,1,1,3,2,1,1,1,1,1,Test Valley,10.40825444,6.405608344,1.488682652,2.4,6,14.39129887,12.86692143,4.083403495,2.771595347
130,E07000115,Tonbridge and Malling,South East,10.1,9,7.2,7.3,7.5,8.31,8.1,7.9,7.3,6.95,1,2,2,2,2,2,2,2,2,2,1,Tonbridge and Malling,10.00041389,6.273746948,2.039883673,2.5,5.8,16.12380557,10.1142501,4.083440255,3.442044038
303,E09000030,Tower Hamlets,London,8,6,7.3,7.6,8.1,10.56,9.2,11.2,9.5,14.19,1,1,2,2,2,5,3,7,4,7,1,Tower Hamlets,7.617593351,6.791921164,3.05756639,2.5,3.9,39.60812586,32.55478634,54.81274794,10.7913527
189,E07000180,Vale of White Horse,South East,10.5,9.7,6.9,7.1,8,8.36,7.9,7.4,6.9,6.49,2,2,2,1,2,2,1,1,1,1,1,Vale of White Horse,10.28035838,5.819585413,1.681947902,2.4,6.1,13.32402291,13.62762362,5.094720138,2.570485964
305,E09000032,Wandsworth,London,9,7.3,7,8.3,10.7,9.84,7.2,9.8,10.1,13.15,1,1,2,3,7,4,1,5,6,6,1,Wandsworth,6.509878011,5.248945423,2.946518204,2.3,4.5,20.3198639,31.66223476,28.59297383,5.274612431
34,E06000037,West Berkshire,South East,9.6,8.7,6.6,6.6,8.3,8.39,7.5,7.2,6.6,6.29,1,1,1,1,3,2,1,1,1,1,1,West Berkshire,9.288658319,5.371143269,1.883221046,2.4,6,13.84023099,13.72313122,5.180013262,2.932306705
190,E07000181,West Oxfordshire,South East,11,10.4,6.9,6.9,8.5,8.67,7.6,7.3,7.4,6.85,2,3,2,1,3,3,1,1,2,1,1,West Oxfordshire,9.885568673,5.924851354,1.40376032,2.4,5.9,12.45808376,14.85395805,3.159029958,2.347309267
306,E09000033,Westminster,London,9.5,8.3,8.4,9.9,12.9,9.36,9.3,11.4,11.7,13.56,1,1,4,6,9,4,3,7,8,6,1,Westminster,7.237141972,6.985542125,4.409484552,2,3.9,25.85561396,39.65983436,38.31701581,8.904057785
114,E07000094,Winchester,South East,11.2,10.7,7.6,7.5,8.6,8.66,8.4,8.1,7.8,6.54,2,3,2,2,3,3,2,2,2,1,1,Winchester,9.9249539,5.88532956,1.670756428,2.4,6.1,15.45503041,14.09153953,4.303786612,2.513602902
37,E06000040,Windsor and Maidenhead,South East,10.1,9.2,7.4,7.6,8.2,8.19,8.1,7.8,6.1,5.91,1,2,2,2,3,2,2,2,1,1,1,Windsor and Maidenhead,9.155368013,5.500830105,1.701828652,2.4,5.9,13.27871943,16.16480145,13.87313226,2.563882843
215,E07000217,Woking,South East,9.3,8.2,6.8,6.9,6.6,7.74,8,7.5,6.1,5.96,1,1,2,1,1,2,2,1,1,1,1,Woking,9.276396702,5.530353435,2.265183571,2.5,5.7,11.91881825,15.67385411,16.40355652,3.339498822
38,E06000041,Wokingham,South East,7.8,7.2,5.6,6.2,6.1,7.07,7.1,6.7,5.4,4.67,1,1,1,1,1,1,1,1,1,1,1,Wokingham,9.005052468,4.703977199,1.246436385,2.5,6.3,7.021149639,11.19638003,11.56561731,1.801697275
221,E07000223,Adur,South East,13.6,11.3,6.8,7.3,6.8,8.63,8.5,8.5,7.7,7.77,4,3,2,2,1,3,2,3,2,2,2,Adur,11.35791573,9.139943121,3.212523649,2.2,5.1,13.06896168,11.42189413,4.11722402,4.822495085
222,E07000224,Arun,South East,13.4,12.1,6.7,7.5,7.2,8.83,8.8,8.6,7.9,7.17,4,4,1,2,1,3,3,3,2,2,2,Arun,11.07157667,9.352720074,2.621953048,2.2,5.4,8.823793962,15.30746859,2.942789497,4.314454472
121,E07000105,Ashford,South East,12.4,11.1,7.6,7.6,8.3,9.46,8.9,8.4,8.5,7.64,3,3,3,2,3,4,3,3,3,2,2,Ashford,10.01983791,7.134863848,1.828949296,2.4,5.8,14.47046268,14.3323498,6.304045576,3.777177894
