geography,geography code,UnpaidCare_person_per,LimitedAlot_person_per,NoCentralHeating_per_hh,HouseholdSize_hh,AverageRooms_hh,SocialRent_hh_per,PrivateRent_hh_per,Ethnicity_per,Deprivation_hh_per
Darlington,E06000005,10.46568906,9.303360994,1.744161131,2.2,5.4,15.48746518,18.24083994,3.759804479,5.592457682
County Durham,E06000047,11.70110786,12.25055627,0.834662627,2.2,5.4,20.10875636,12.57445164,1.845718004,6.740749677
Hartlepool,E06000001,10.78367453,12.10175164,1.434436365,2.3,5.4,23.53217589,14.76727507,2.313426349,8.141662957
Middlesbrough,E06000002,10.23032685,10.80758894,1.821582784,2.4,5.3,23.86937748,16.62325403,11.81761697,8.989039036
Northumberland,E06000057,11.29551812,9.790271748,1.341187001,2.2,5.6,18.65318261,13.29420936,1.570114041,4.708591393
Redcar and Cleveland,E06000003,11.86148531,11.45313182,1.734753796,2.2,5.4,19.4077678,12.47210804,1.460307597,6.650448788
Stockton-on-Tees,E06000004,10.39820469,9.225510151,1.177377178,2.4,5.6,17.21219318,13.12169178,5.38124315,5.566012709
Gateshead,E08000037,11.09812501,11.44625251,1.303362721,2.2,5,27.975189,12.47840815,3.732006753,7.370392803
Newcastle upon Tyne,E08000021,9.212033821,9.515770388,1.516819885,2.3,5.1,29.74742431,19.05030174,14.50654408,7.53885944
North Tyneside,E08000022,11.05970588,10.08261911,1.452434416,2.2,5.3,21.55320664,12.37745769,3.374485187,5.573142012
South Tyneside,E08000023,11.30111323,12.26380066,0.78907797,2.2,5.1,31.5690741,10.06148853,4.069480918,7.420310569
Sunderland,E08000024,11.80772833,12.41570057,0.831677216,2.3,5.2,27.05372501,12.15117153,4.073958462,7.920973964
Blackburn with Darwen,E06000008,10.68283058,10.55197337,3.677226998,2.5,5.4,18.11762244,15.68008648,30.83619795,9.11547783
Blackpool,E06000009,11.48699539,13.54802379,5.536998773,2.1,5.1,10.87358429,26.05372318,3.326646253,10.71045722
Cheshire East,E06000049,10.80791188,7.890805048,2.284857722,2.3,5.9,11.37787646,12.50493913,3.292653603,3.566836635
Cheshire West and Chester,E06000050,11.26216597,8.828062426,2.113233693,2.3,5.8,14.71133044,12.53800144,2.60400233,4.593402243
Halton,E06000006,11.94312344,11.57571613,2.892406963,2.3,5.4,25.21195978,9.776410564,2.151161866,8.200780312
Warrington,E06000007,10.80117491,8.376683743,2.243363871,2.3,5.6,15.64247122,11.21564482,4.072630892,4.750998356
Allerdale,E07000026,11.17379851,10.07861276,3.100720274,2.2,5.7,19.10024796,9.781556264,1.075480699,5.4764435
Barrow-in-Furness,E07000027,11.93422786,12.97060228,7.814501665,2.2,5.3,11.06200359,14.22623623,1.660225513,8.660005124
Carlisle,E07000028,10.51393177,9.224917228,3.05117703,2.2,5.5,15.29518845,14.30226304,1.900970946,5.587274006
Copeland,E07000029,11.30405224,10.67518377,2.842546502,2.3,5.6,18.56169767,8.72740372,1.575003895,6.464500917
Eden,E07000030,11.34236359,7.796210334,4.131406501,2.2,6,10.0724732,15.99184134,1.074880146,3.476109882
South Lakeland,E07000031,11.79648459,7.997453163,3.948272899,2.2,5.8,10.42490119,14.24858223,1.636149646,3.00524145
Bolton,E08000001,11.07317567,10.03410577,3.035979754,2.4,5.2,20.4733138,13.68897749,18.11543936,7.354925196
Bury,E08000002,10.78244894,9.041932346,2.408049876,2.3,5.4,14.98214126,13.79283858,10.82243597,5.786488805
Manchester,E08000003,8.474997366,9.411738984,3.127302177,2.3,4.8,31.55696715,28.37990135,33.39474924,9.719030683
Oldham,E08000004,10.81472852,10.02014255,1.938619667,2.5,5.2,21.08959567,12.20026086,22.48629373,7.852580181
Rochdale,E08000005,10.987298,10.68970567,2.303773757,2.4,5.2,23.12568531,13.19901316,18.33971818,8.864446272
Salford,E08000006,10.00371901,10.98989882,2.400633474,2.2,5,28.79504809,18.7531384,9.862225509,8.613696937
Stockport,E08000007,11.29008914,8.644250287,2.32581018,2.3,5.6,13.62529616,11.35605309,7.927279146,5.054968478
