"","LAName","LACode","English region","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","x2010","x2011","x2012","x2013","x2014","x2015","x2016","x2017","x2018","x2019","clustering4","clustering5","clustering6","clustering7","clustering8"
"1","Wokingham","E06000041","South East",0.08,0.07,5.6,6.2,6.1,7.07,7.1,6.7,5.4,4.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2","Hart","E07000089","South East",0.08,0.07,5.5,6.1,6.3,7.51,7,6.7,5.5,4.77,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"3","Surrey Heath","E07000214","South East",0.09,0.08,6.2,6.6,6.6,7.64,7.7,7.2,5.6,5.08,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"4","Elmbridge","E07000207","South East",0.1,0.1,7.4,7,7.3,6.31,7.8,7.7,5.8,5.29,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1
"5","Bracknell Forest","E06000036","South East",0.07,0.06,4.9,5.6,5.8,6.94,6.5,5.8,5.2,5.35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"6","Fareham","E07000087","South East",0.1,0.08,5.2,5.9,5.6,7.55,7.2,6.8,5.9,5.35,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"7","Mid Sussex","E07000228","South East",0.11,0.1,6.7,6.9,7.6,8.06,7.8,7.5,6.5,5.78,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1
"8","Tandridge","E07000215","South East",0.12,0.11,7.5,7,7,7.59,7.9,7.6,6.5,5.87,2,3,2,1,1,2,1,1,1,1,1,1,1,1,1
"9","Windsor and Maidenhead","E06000040","South East",0.1,0.09,7.4,7.6,8.2,8.19,8.1,7.8,6.1,5.91,1,1,2,2,3,2,2,2,1,1,1,1,1,1,1
"10","Woking","E07000217","South East",0.09,0.08,6.8,6.9,6.6,7.74,8,7.5,6.1,5.96,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1
"11","East Hampshire","E07000085","South East",0.11,0.1,6.6,6.5,7.2,7.75,7.5,7.2,7,5.97,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1
"12","Horsham","E07000227","South East",0.1,0.1,6.8,6.8,7.6,7.66,7.6,7.3,7.2,5.98,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1
"13","Eastleigh","E07000086","South East",0.09,0.08,5.8,6.4,6.1,8.19,7.8,7.2,6.3,6.04,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"14","Reigate and Banstead","E07000211","South East",0.1,0.09,6.9,7,7.2,7.52,7.9,7.4,6,6.13,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1
"15","Mole Valley","E07000210","South East",0.12,0.12,7.7,7.3,7.6,7.68,8.1,7.9,6.8,6.16,2,3,3,2,2,2,2,2,1,1,1,1,1,1,1
"16","New Forest","E07000091","South East",0.13,0.12,6.6,6.9,6.8,8.14,8.5,8,7.6,6.16,3,3,1,1,1,2,2,2,2,1,1,1,1,1,1
"17","Waverley","E07000216","South East",0.12,0.12,7.8,7.4,7.8,7.85,8.3,8,6.8,6.21,2,4,3,2,2,2,2,2,1,1,1,1,1,1,1
"18","Basingstoke and Deane","E07000084","South East",0.08,0.07,5.7,5.9,6.9,7.89,7.1,6.5,6.1,6.27,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
"19","Runnymede","E07000212","South East",0.1,0.09,7.3,7.6,7.5,8.27,8.1,7.8,6.4,6.27,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1
"20","West Berkshire","E06000037","South East",0.1,0.09,6.6,6.6,8.3,8.39,7.5,7.2,6.6,6.29,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1
