LAName,LACode,English region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Basildon,E07000066,East of England,13,9.9,6.1,7,6.3,5.66,7.8,8.4,7.8,11.82
Basingstoke and Deane,E07000084,South East,8.4,7.2,5.7,5.9,6.9,7.89,7.1,6.5,6.1,6.27
Bracknell Forest,E06000036,South East,7.3,5.8,4.9,5.6,5.8,6.94,6.5,5.8,5.2,5.35
Broxbourne,E07000095,East of England,12.9,10.2,6.3,7.5,6.6,5.99,7.4,8.1,7.5,10.56
Cherwell,E07000177,South East,9.7,8.3,6.6,7.2,8.3,9.27,8,7.8,7.4,7.22
City of London,E09000001,London,4.6,3.4,2.4,3.9,5.7,4.85,4.9,4.2,5.5,6.36
Crawley,E07000163,South East,8.4,6.3,11.3,10.7,13.6,12.54,10.4,9.4,10.6,7.46
Croydon,E07000226,London,11.3,9.8,5.8,6.7,6.8,8.46,7.7,6.9,6.6,16.43
East Hampshire,E07000085,South East,10.6,10.2,6.6,6.5,7.2,7.75,7.5,7.2,7,5.97
Eastleigh,E07000086,South East,9,7.8,5.8,6.4,6.1,8.19,7.8,7.2,6.3,6.04
Elmbridge,E07000207,South East,9.7,9.5,7.4,7,7.3,6.31,7.8,7.7,5.8,5.29
Epsom and Ewell,E07000208,South East,11.1,10.3,8,7.9,7.4,7.53,8.5,7.7,6.6,6.47
Fareham,E07000087,South East,9.7,8.4,5.2,5.9,5.6,7.55,7.2,6.8,5.9,5.35
Gosport,E07000088,South East,10.8,8.7,6.7,7.6,7.6,9.75,8.5,8.2,7.2,7.7
Hart,E07000089,South East,7.7,7.4,5.5,6.1,6.3,7.51,7,6.7,5.5,4.77
Horsham,E07000227,South East,10.4,10.2,6.8,6.8,7.6,7.66,7.6,7.3,7.2,5.98
Huntingdonshire,E07000011,East of England,11.3,10,6.3,7,6.7,6.09,8.3,8.1,8.4,11.35
Mid Sussex,E07000228,South East,10.6,10.2,6.7,6.9,7.6,8.06,7.8,7.5,6.5,5.78
Milton Keynes,E06000042,South East,7.9,6.2,5.4,6.3,6,7.93,7.5,6.9,5.9,6.33
Mole Valley,E07000210,South East,12,11.5,7.7,7.3,7.6,7.68,8.1,7.9,6.8,6.16
New Forest,E07000091,South East,12.7,11.9,6.6,6.9,6.8,8.14,8.5,8,7.6,6.16
Reigate and Banstead,E07000211,South East,10,8.9,6.9,7,7.2,7.52,7.9,7.4,6,6.13
Runnymede,E07000212,South East,10.3,8.9,7.3,7.6,7.5,8.27,8.1,7.8,6.4,6.27
Rushmoor,E07000092,South East,8.7,7.1,6.6,7,7.1,9.03,8,7.5,6.4,7.71
Selby,E07000169,Yorkshire and the Humber,14.9,14.6,7,6.9,9.4,9.17,8.8,7.1,8.3,13.19
South Gloucestershire,E06000025,South West,10.7,9.9,6.7,9.1,9.5,8.76,7.5,8.2,6.7,7.97
South Oxfordshire,E07000179,South East,10.8,10.2,7.1,7.4,8.3,8.52,7.9,7.7,7.3,6.4
Southwark,E09000028,London,9.2,7.3,6.4,8,8.9,8.75,8.8,9.1,9.9,14.64
Spelthorne,E07000213,South East,10.5,8.7,6.4,7.1,7,7.68,7.5,7.1,6,6.6
Stevenage,E07000243,East of England,12.4,8.8,6.3,7.3,7.1,6.43,7.7,8,7.4,12.04
Surrey Heath,E07000214,South East,8.7,8,6.2,6.6,6.6,7.64,7.7,7.2,5.6,5.08
Tandridge,E07000215,South East,11.5,10.9,7.5,7,7,7.59,7.9,7.6,6.5,5.87
Test Valley,E07000093,South East,10.1,9.2,6.6,6.6,8.4,8.31,7.6,7.3,6.9,6.43
Tonbridge and Malling,E07000115,South East,10.1,9,7.2,7.3,7.5,8.31,8.1,7.9,7.3,6.95
Tower Hamlets,E09000030,London,8,6,7.3,7.6,8.1,10.56,9.2,11.2,9.5,14.19
Vale of White Horse,E07000180,South East,10.5,9.7,6.9,7.1,8,8.36,7.9,7.4,6.9,6.49
Wandsworth,E09000032,London,9,7.3,7,8.3,10.7,9.84,7.2,9.8,10.1,13.15
Waverley,E07000216,South East,12.1,11.8,7.8,7.4,7.8,7.85,8.3,8,6.8,6.21
West Berkshire,E06000037,South East,9.6,8.7,6.6,6.6,8.3,8.39,7.5,7.2,6.6,6.29
West Oxfordshire,E07000181,South East,11,10.4,6.9,6.9,8.5,8.67,7.6,7.3,7.4,6.85
Westminster,E09000033,London,9.5,8.3,8.4,9.9,12.9,9.36,9.3,11.4,11.7,13.56
Winchester,E07000094,South East,11.2,10.7,7.6,7.5,8.6,8.66,8.4,8.1,7.8,6.54
Windsor and Maidenhead,E06000040,South East,10.1,9.2,7.4,7.6,8.2,8.19,8.1,7.8,6.1,5.91
Woking,E07000217,South East,9.3,8.2,6.8,6.9,6.6,7.74,8,7.5,6.1,5.96
Wokingham,E06000041,South East,7.8,7.2,5.6,6.2,6.1,7.07,7.1,6.7,5.4,4.67
Adur,E07000223,South East,13.6,11.3,6.8,7.3,6.8,8.63,8.5,8.5,7.7,7.77
Arun,E07000224,South East,13.4,12.1,6.7,7.5,7.2,8.83,8.8,8.6,7.9,7.17
Ashford,E07000105,South East,12.4,11.1,7.6,7.6,8.3,9.46,8.9,8.4,8.5,7.64
Bath and North East Somerset,E06000022,South West,13.6,13.7,9.5,12.1,13.2,12.39,9.6,10.9,9.1,10.25
Bexley,E09000004,London,11.8,10,7.6,8.2,8.5,7.64,8.2,9.8,9,12.84
Blaby,E07000129,East Midlands,14,14.2,9.6,8,7.2,10.02,9.1,7,8.4,9.66
Braintree,E07000067,East of England,14.9,12.8,8.1,8.2,8.4,7.71,8.8,9,9.3,13.07
Brentwood,E07000068,East of England,15,13.7,7.7,7.7,7,6.26,8.1,8.4,7.5,10.15
Brighton and Hove,E06000043,South East,13.5,12.2,10.7,11.9,12.3,12.7,11.4,11.7,11.2,10.48
Broadland,E07000144,East of England,16.3,15,6.7,7.1,7.2,6.57,8.9,8.8,9.5,11.39
Bromley,E09000006,London,11,10.1,7.1,7.6,8.5,6.91,8.1,9.1,8.6,11.89
Canterbury,E07000106,South East,14,12.7,8.9,9.4,9.3,10.92,10.6,10.6,10.1,8.72
Castle Point,E07000069,East of England,16.8,14.3,6.6,7.6,6.4,5.64,9.3,10,9,11.44
Central Bedfordshire UA,E06000056,East of England,12.6,10.9,7.2,7.7,7.3,6.67,8,8.4,8.4,11.58
Chelmsford,E07000070,East of England,13,11.5,7.2,7.4,6.9,6.17,7.9,8.1,7.9,10.59
Cheltenham,E07000078,South West,13.4,13,8.9,11,11.4,10.6,9.6,10.4,8.1,11
Chichester,E07000225,South East,14.7,14.3,8.7,8.3,9.5,9.34,9.3,9.3,9.5,7.54
